,latitude,longitude,admission_rate,sat_verbal_midrange,sat_math_midrange,sat_writing_midrange,act_combined_midrange,act_english_midrange,act_math_midrange,act_writing_midrange,sat_total_average,undergrad_size,percent_white,percent_black,percent_hispanic,percent_asian,percent_part_time,average_cost_academic_year,average_cost_program_year,tuition_(instate),tuition_(out_of_state),spend_per_student,faculty_salary,percent_part_time_faculty,completion_rate,percent_female,agege24,faminc,mean_earnings_6_years,median_earnings_6_years,mean_earnings_10_years,median_earnings_10_years,school_name,region,city,state
69,33.580999999999996,-112.1138,0.69965,515.0,520.0,510.0,23.0,22.0,22.0,7.0,1037.0,2761.0,0.389,0.3158,0.1268,0.0058,0.4611,25089.0,17831.0,12960.0,12960.0,8489.0,7411.0,0.52845,0.3175,0.81000000238418,0.66000002622604,27843.76,24600.0,23500.0,29600.0,28300.0,Everest College-Phoenix,"Southwest (AZ, NM, OK, TX)",Phoenix,AZ
70,33.4033,-111.9865,0.69965,515.0,520.0,510.0,23.0,22.0,22.0,7.0,1037.0,254.0,0.3465,0.0827,0.1614,0.0079,0.18899999999999997,22865.0,17831.0,11700.0,14446.0,5313.0,4869.0,0.52845,0.3773,0.23000000417232,0.30000001192092,46288.69,24100.0,21000.0,29100.0,25200.0,Collins College,"Southwest (AZ, NM, OK, TX)",Phoenix,AZ
71,33.6026,-111.9764,0.69965,515.0,520.0,510.0,23.0,22.0,22.0,7.0,1037.0,43.0,0.6047,0.0698,0.1628,0.0,0.2093,22865.0,15718.0,11700.0,14446.0,11911.0,5748.0,0.52845,0.46525,0.95999997854232,0.56000000238418,42591.96,17800.0,14000.0,26600.0,19300.0,Empire Beauty School-Paradise Valley,"Southwest (AZ, NM, OK, TX)",Phoenix,AZ
74,33.5777,-112.0922,0.69965,515.0,520.0,510.0,23.0,22.0,22.0,7.0,1037.0,77.0,0.0649,0.1169,0.1948,0.0,0.1169,20601.0,17831.0,12000.0,12000.0,6669.0,1954.0,1.0,0.5,0.62999999523162,0.43999999761581,18945.46,27600.0,25000.0,34300.0,30900.0,American Indian College of the Assemblies of God Inc,"Southwest (AZ, NM, OK, TX)",Phoenix,AZ
75,33.4423,-112.1753,0.69965,515.0,520.0,510.0,23.0,22.0,22.0,7.0,1037.0,278.0,0.5144,0.24100000000000002,0.1331,0.0144,0.0,22865.0,21896.0,11700.0,14446.0,3061.0,5748.0,0.52845,0.46525,0.15000000596046,0.9200000166893,27750.39,29100.0,27300.0,31800.0,30700.0,American Institute of Technology,"Southwest (AZ, NM, OK, TX)",Phoenix,AZ
76,33.5608,-112.1155,1.0,515.0,520.0,510.0,23.0,22.0,22.0,7.0,1037.0,676.0,0.2618,0.0784,0.5429,0.0044,0.0,22865.0,24417.0,11700.0,14446.0,2326.0,3613.0,0.5357,0.6443,0.83999997377395,0.5,26386.56,23900.0,22300.0,28400.0,26200.0,Carrington College-Phoenix,"Southwest (AZ, NM, OK, TX)",Phoenix,AZ
82,33.5254,-112.1501,0.69965,515.0,520.0,510.0,23.0,22.0,22.0,7.0,1037.0,828.0,0.3249,0.2077,0.2512,0.0193,0.0,22865.0,29302.0,11700.0,14446.0,8116.0,4757.0,0.3235,0.4664,0.86000001430511,0.56000000238418,14933.38,20500.0,17700.0,24100.0,22300.0,Brookline College-Phoenix,"Southwest (AZ, NM, OK, TX)",Phoenix,AZ
100,33.5122,-112.1299,0.5479999999999999,515.0,520.0,510.0,23.0,22.0,22.0,7.0,1037.0,34643.0,0.4427,0.2075,0.1452,0.0437,0.7698,31613.0,17831.0,17000.0,17000.0,2806.0,5473.0,0.1175,0.3036,0.68999999761581,0.73000001907348,60552.1,48000.0,42900.0,53200.0,45200.0,Grand Canyon University,"Southwest (AZ, NM, OK, TX)",Phoenix,AZ
101,33.4943,-112.0502,0.69965,515.0,520.0,510.0,23.0,22.0,22.0,7.0,1037.0,2238.0,0.4303,0.26899999999999996,0.1649,0.0125,0.0,32523.0,17831.0,13775.0,13775.0,993.0,3848.0,0.4938,0.7996,0.73000001907348,0.56999999284744,31704.68,26000.0,23600.0,31900.0,29500.0,Anthem College-Phoenix,"Southwest (AZ, NM, OK, TX)",Phoenix,AZ
103,33.6082,-112.1189,0.69965,515.0,520.0,510.0,23.0,22.0,22.0,7.0,1037.0,93.0,0.5376,0.0215,0.3656,0.0108,0.0,22865.0,22094.0,11700.0,14446.0,4722.0,3568.0,0.52845,0.46525,0.79000002145767,0.56000000238418,31595.27,26700.0,26000.0,27900.0,26300.0,Kaplan College-Phoenix,"Southwest (AZ, NM, OK, TX)",Phoenix,AZ
